t,u
0.0,1.0
0.25,0.8141715055093174
0.5,0.4650425043415592
0.75,0.05648480280131363
1.0,-0.3082891589931797
1.25,-0.550617417737244
1.5,-0.6312470857267667
1.75,-0.5539659768640477
2.0,-0.35872722498858245
2.25,-0.10732803471728264
2.5,0.13399252869024655
2.75,0.3105638931966676
3.0,0.3903761067364729
3.25,0.3683613850090086
3.5,0.26381885793472176
3.75,0.1125360112086869
4.0,-0.04382376801618412
4.25,-0.16822076884803192
4.5,-0.23620164657334308
4.75,-0.23982834284093987
5.0,-0.18722216465881672
5.25,-0.09843973567396393
5.5,0.0008499548941882087
5.75,0.08611188380338751
6.0,0.13948812119986553
6.25,0.15301732202135793
6.5,0.12910614834499656
6.75,0.07852586474212583
7.0,0.016744351350979906
7.25,-0.040322290642814354
7.5,-0.08007051692434093
7.75,-0.09567654943840012
8.0,-0.08687690800313987
8.25,-0.059115836707364346
8.5,-0.02148521185750719
8.75,0.01589617761864319
9.0,0.04437692294816717
9.25,0.058578885462124794
9.5,0.057190947184824335
9.75,0.04270716517460394
10.0,0.020317209511202226
